model_size,split,mean_wer,median_wer,mean_transcribe_seconds,n
base,test-clean,0.07762964659581918,0.008620689655172414,0.2888363659381866,40
base,test-other,0.257761458012232,0.15476190476190477,0.29062671065330503,40
small,test-clean,0.052162612533390385,0.0,0.7701129913330078,40
small,test-other,0.18081831277167965,0.10263157894736842,0.781526255607605,40
tiny,test-clean,0.09984598830075035,0.03851851851851852,0.1742573857307434,40
tiny,test-other,0.33186685631190277,0.20526315789473684,0.22029513120651245,40
